Manufacturer,Model,Version,Power(kW),Fuel_date,Consumption(kWh/100km),ECR_deviation,Fuel_type,Quantity(kWh),Tire_Type,City,Highway,"Country_Roads	",Driving_Style,A/C,Park_heating,Avg_Speed(km/h),Trip_Distance(km)
Volkswagen,Golf,e-Golf,85,29.09.2018,17,0.2,Electricity,2.23,Summer tires,0,0,1,Moderate,0,0,48,18
Volkswagen,Golf,e-Golf,85,29.09.2018,12.8,-4,Electricity,3.75,Summer tires,0,0,1,Moderate,0,0,75,71
Volkswagen,Golf,e-Golf,85,28.09.2018,13.1,-3.7,Electricity,9.82,Summer tires,0,0,1,Moderate,0,0,41,75
Volkswagen,Golf,e-Golf,85,27.09.2018,11.4,-5.4,Electricity,9.78,Summer tires,0,1,0,Moderate,0,0,65,32
Volkswagen,Golf,e-Golf,85,27.09.2018,12.1,-4.7,Electricity,3.41,Summer tires,0,1,0,Moderate,0,0,67,118
Volkswagen,Golf,e-Golf,85,27.09.2018,12.2,-4.6,Electricity,13.76,Summer tires,0,0,1,Moderate,0,0,59,95
Volkswagen,Golf,e-Golf,85,27.09.2018,14.5,-2.3,Electricity,13.76,Summer tires,0,1,0,Normal,0,0,96,63
Volkswagen,Golf,e-Golf,85,27.09.2018,13.1,-3.7,Electricity,9.7,Summer tires,0,1,0,Normal,0,0,78,99
Volkswagen,Golf,e-Golf,85,27.09.2018,13.6,-3.2,Electricity,9.2,Summer tires,0,1,0,Moderate,0,0,56,37
Volkswagen,Golf,e-Golf,85,26.09.2018,11.8,-5,Electricity,7.62,Summer tires,0,1,0,Moderate,0,0,77,71
Volkswagen,Golf,e-Golf,85,26.09.2018,13,-3.8,Electricity,14.51,Summer tires,0,1,0,Moderate,0,0,69,101
Volkswagen,Golf,e-Golf,85,25.09.2018,12,-4.8,Electricity,13.99,Summer tires,0,1,0,Moderate,0,0,69,72
Volkswagen,Golf,e-Golf,85,25.09.2018,13.3,-3.5,Electricity,11.35,Summer tires,0,1,0,Moderate,0,0,70,100
Volkswagen,Golf,e-Golf,85,24.09.2018,13.1,-3.7,Electricity,9.9,Summer tires,0,1,0,Moderate,0,0,67,72
Volkswagen,Golf,e-Golf,85,24.09.2018,14,-2.8,Electricity,10.42,Summer tires,0,1,0,Moderate,0,1,50,92
Volkswagen,Golf,e-Golf,85,22.09.2018,12.7,-4.1,Electricity,10.87,Summer tires,0,1,0,Normal,0,0,62,87
Volkswagen,Golf,e-Golf,85,21.09.2018,13.5,-3.3,Electricity,12.09,Summer tires,0,1,0,Normal,0,0,80,74
Volkswagen,Golf,e-Golf,85,21.09.2018,12.6,-4.2,Electricity,12.83,Summer tires,0,1,0,Normal,0,0,68,18
Volkswagen,Golf,e-Golf,85,21.09.2018,13.3,-3.5,Electricity,0.56,Summer tires,0,1,1,Normal,0,0,69,68
Volkswagen,Golf,e-Golf,85,20.09.2018,13.1,-3.7,Electricity,8.97,Summer tires,0,1,0,Normal,0,0,76,99
Volkswagen,Golf,e-Golf,85,20.09.2018,11,-5.8,Electricity,6.5,Summer tires,0,1,0,Moderate,0,0,32,24
Volkswagen,Golf,e-Golf,85,20.09.2018,12.3,-4.5,Electricity,10.97,Summer tires,0,1,0,Moderate,0,0,73,86
Volkswagen,Golf,e-Golf,85,19.09.2018,11.9,-4.9,Electricity,1.12,Summer tires,0,1,0,Moderate,0,0,59,16
Volkswagen,Golf,e-Golf,85,19.09.2018,12.1,-4.7,Electricity,13.22,Summer tires,0,1,0,Moderate,0,0,75,72
Volkswagen,Golf,e-Golf,85,19.09.2018,12.3,-4.5,Electricity,10.97,Summer tires,0,1,0,Moderate,0,0,57,101
Volkswagen,Golf,e-Golf,85,18.09.2018,12.2,-4.6,Electricity,11.96,Summer tires,0,1,0,Normal,0,0,80,71
Volkswagen,Golf,e-Golf,85,18.09.2018,12.2,-4.6,Electricity,10.42,Summer tires,0,1,1,Moderate,0,0,70,117
Volkswagen,Golf,e-Golf,85,17.09.2018,12.3,-4.5,Electricity,13.58,Summer tires,0,1,1,Moderate,0,0,58,57
Volkswagen,Golf,e-Golf,85,17.09.2018,13.1,-3.7,Electricity,7.36,Summer tires,0,1,0,Normal,0,0,80,71
Volkswagen,Golf,e-Golf,85,17.09.2018,13.2,-3.6,Electricity,10.42,Summer tires,0,1,0,Moderate,0,1,63,73
Volkswagen,Golf,e-Golf,85,17.09.2018,13.1,-3.7,Electricity,6.31,Summer tires,0,1,1,Moderate,0,1,58,87
Volkswagen,Golf,e-Golf,85,16.09.2018,13.9,-2.9,Electricity,10.01,Summer tires,0,0,1,Moderate,0,0,55,72
Volkswagen,Golf,e-Golf,85,15.09.2018,12.5,-4.3,Electricity,0.37,Summer tires,1,0,0,Moderate,0,1,15,3
Volkswagen,Golf,e-Golf,85,15.09.2018,18.1,1.3,Electricity,7.1,Summer tires,0,1,0,Fast,0,1,61,17
Volkswagen,Golf,e-Golf,85,14.09.2018,11.8,-5,Electricity,3.82,Summer tires,0,1,0,Moderate,0,0,61,108
Volkswagen,Golf,e-Golf,85,14.09.2018,12.8,-4,Electricity,14.9,Summer tires,0,1,0,Moderate,0,1,69,103
Volkswagen,Golf,e-Golf,85,13.09.2018,13.9,-2.9,Electricity,10.8,Summer tires,0,1,0,Normal,0,1,79,71
Volkswagen,Golf,e-Golf,85,13.09.2018,14.6,-2.2,Electricity,10.6,Summer tires,0,1,0,Normal,0,1,69,71
Volkswagen,Golf,e-Golf,85,13.09.2018,12.9,-3.9,Electricity,13.28,Summer tires,0,1,0,Moderate,0,1,56,18
Volkswagen,Golf,e-Golf,85,13.09.2018,13.3,-3.5,Electricity,2.23,Summer tires,0,0,1,Moderate,0,0,53,97
Volkswagen,Golf,e-Golf,85,11.09.2018,13,-3.8,Electricity,14.71,Summer tires,0,1,0,Moderate,0,0,77,72
Volkswagen,Golf,e-Golf,85,11.09.2018,12.5,-4.3,Electricity,10.79,Summer tires,0,1,0,Moderate,0,1,67,100
Volkswagen,Golf,e-Golf,85,10.09.2018,11.2,-5.6,Electricity,10.51,Summer tires,0,1,0,Moderate,0,0,75,71
Volkswagen,Golf,e-Golf,85,10.09.2018,13.2,-3.6,Electricity,9.86,Summer tires,0,1,0,Normal,0,0,57,72
Volkswagen,Golf,e-Golf,85,10.09.2018,13.1,-3.7,Electricity,6.18,Summer tires,1,1,1,Normal,0,0,54,84
Volkswagen,Golf,e-Golf,85,09.09.2018,13.6,-3.2,Electricity,14.02,Summer tires,1,1,0,Normal,0,0,57,89
Volkswagen,Golf,e-Golf,85,09.09.2018,14.3,-2.5,Electricity,9.67,Summer tires,0,1,1,Fast,0,0,48,81
Volkswagen,Golf,e-Golf,85,08.09.2018,15.9,-0.9,Electricity,7.63,Summer tires,0,1,0,Normal,0,0,52,20
Volkswagen,Golf,e-Golf,85,07.09.2018,14.4,-2.4,Electricity,12.55,Summer tires,0,1,0,Moderate,0,0,57,74
Volkswagen,Golf,e-Golf,85,07.09.2018,11,-5.8,Electricity,5.39,Summer tires,1,1,0,Moderate,0,0,46,19
Volkswagen,Golf,e-Golf,85,07.09.2018,11.8,-5,Electricity,8.1,Summer tires,0,1,0,Moderate,0,0,61,104
Volkswagen,Golf,e-Golf,85,06.09.2018,13.7,-3.1,Electricity,13.11,Summer tires,0,1,0,Normal,0,0,82,72
Volkswagen,Golf,e-Golf,85,06.09.2018,11.8,-5,Electricity,10.97,Summer tires,0,1,0,Moderate,0,0,68,105
Volkswagen,Golf,e-Golf,85,05.09.2018,13.5,-3.3,Electricity,11.39,Summer tires,0,1,0,Moderate,0,0,82,71
Volkswagen,Golf,e-Golf,85,05.09.2018,11.7,-5.1,Electricity,11.35,Summer tires,0,1,0,Moderate,0,0,74,101
Volkswagen,Golf,e-Golf,85,04.09.2018,14.4,-2.4,Electricity,12.98,Summer tires,0,1,0,Normal,0,0,80,71
Volkswagen,Golf,e-Golf,85,04.09.2018,12.6,-4.2,Electricity,10.04,Summer tires,0,1,0,Normal,0,0,71,72
Volkswagen,Golf,e-Golf,85,04.09.2018,12.9,-3.9,Electricity,8.7,Summer tires,0,1,0,Normal,0,0,52,38
Volkswagen,Golf,e-Golf,85,03.09.2018,11.6,-5.2,Electricity,6.7,Summer tires,0,1,0,Normal,0,0,66,76
Volkswagen,Golf,e-Golf,85,03.09.2018,12,-4.8,Electricity,8,Summer tires,0,1,0,Normal,0,0,70,71
Volkswagen,Golf,e-Golf,85,03.09.2018,13.5,-3.3,Electricity,7.45,Summer tires,0,1,0,Fast,0,0,56,92
Volkswagen,Golf,e-Golf,85,02.09.2018,18.1,1.3,Electricity,15.03,Summer tires,0,1,0,Fast,0,0,67,17
